Business Name,Business Address,Contact Name,Contact Phone,Website URL
"Bob Thompson Homes, L.P.","16633 Dallas Parkway, Suite 325, Addison TX, 75001  ",Robert Thompson,972-931-9595,
Ripple D+B Co,"3723 Greenville Ave., Dallas TX, 75206  ",Garrett Ratner,214-213-1924,
"Chase Welch Custom Homes, LLC","PO Box 312, Crandall TX, 75114  ",Chase Welch,972-679-2507,http://www.chasewelchhomes.com
RockWell Homes,"4215 W Lovers Lane, Dallas TX, 75209  ",Benjamin Romski,914-500-5336,http://rockwell-homes.com
Jarrett Construction,"6116 N Central Expy Ste 614, Dallas TX, 75206  ",John Jarrett,214-533-6239,
Pineapple Contractors,"4400 Hwy 121, Ste 300, Lewisville TX, 75056  ",Jr. Moeakiola,972-795-1342,http://www.pineapplecontractors.com
Beazer Homes,"1501 LBJ Freeway, Ste 300, Farmers Branch TX, 75234  ",Landon Hood,636-295-2216,
Kristin Granger Design & Build,"3475 Bristlecone Ct, Rockwall TX, 75032  ",Kristin Granger,214-505-1148,http://www.kristingranger.com
Brooke Bailey Custom Homes,"P.O. Box 140307, Dallas TX, 75214  ",Craig Scruggs,214-325-4777,
Hayes Signature Homes LLC,"P O Box 671168, Dallas TX, 75367  ",Mark Hayes,214-475-3376,
Beta Builders LLC,"5422 Belmont Ave, Dallas TX, 75206  ",Ahmet Ciger,347-553-1054,
Arlen Haruthunian,"5220 Spring Valley Rd., Suite 212, Dallas TX, 75254  ",Milan Custom Build,214-502-6544,http://www.milancustombuild.com
Platinum Homes by Mark Molthan,"7001 Preston Rd Ste 230, Dallas TX, 75205  ",Mark Molthan,214-363-6244,
Ellis County Properties LLC dba Texas Heritage Custom Homes,"PO Box 334 , Waxahachie TX, 75168  ",James Hearon,972-923-2400,
Thomas Development and Construction LLC,"4516 Lovers Ln. Suite 325, Dallas TX, 75225  ",Matthew Thomas,214-810-8396,
Camden Homes,"12801 N. Central Expressway, Suite 1650, Dallas TX, 75243  ",Cyrus Akhavizadeh,972-479-8899,
TX Elite Development LLC,"5900 Balcones Dr, Ste 100, Austin TX, 78731  ",Joseph Godinho,319-610-7078,
Andrews Development & Holdings LLC,"2504 N Hwy 175, Seagoville TX, 75159  ",Queenetra Andrews,972-748-6585,http://andrewsdevelopmentllc.com/
Impression Homes,"2325 Dean Way, Ste 150, Southlake TX, 76092  ",Steve Garza,817-717-5103,http://impressionhomes.net
Sleepy Hollow Homes,"4404 Grassmere Lane, Dallas TX, 75205  ",Robby Skinner Jr,972-839-7748,
Alison Charley,"7324 Gaston Avenue #124-341, Dallas TX, 75214  ",Hoffmann Homes,214-324-0046,http://www.alanhoffmanncompany.com
"Lone Star Framing & Construction, LLC","2311 W Newton Cir, Irving TX, 75062  ",Jose Garcia,972-255-7700,
"Grenadier Homes, Inc.","5000 Quorum Drive, Ste 555, Dallas TX, 75254  ",John Egnatis,214-224-0095,
Williamsburg Custom Homes,"PO Box 703397, Dallas TX, 75370  ",Bill Wait,214-576-6633,
Brenden Montgomery,"5661 7th St NE, Calgary AB, T2E 8V3  ",Shane Homes,403-536-2333,
KPRR Custom Homes & Remodeling LLC,"6835 Communications Pkwy, Ste 520, Plano TX, 75024  ",Arvy Reddy,469-500-8449,http://www.kprrcustomhomes.com
Amelia Custom Homes,"402 Montpelier Dr, Southlake TX, 76092  ",Jamie Sanchez,682-367-7917,http://ameliacustomhomestx.com
"B & J Custom Homes, Inc.","P O Box 3578, Cedar Hill TX, 75106  ",Frederick A Brown,214-206-8949,
McKinley Built Homes,"25 Highland Park Village,#100-394, Dallas TX, 75205  ",Patrick McKinley,214-789-2563,
"Rhino Residential, LLC","858 W Happy Canyon Rd, Ste 230, Castle Rock CO, 80108  ",Ken Higginson,303-550-9907,http://RhinoResi.com
MCR Builders LLC DBA MCR Luxury Homes,"16610 Dallas Pkwy, Ste 2025, Dallas TX, 75248  ",Bryan Lurie,972-707-9150,
Four Soils Homes,"PO Box 368, Waxahachie TX, 75168  ",Samuel Parker,512-947-6278,
Jerry Carter Homes,"2725 Country Valley Rd, Garland TX, 75043  ",Jerry Carter,972-271-6808,
Tracey Wilson,"1420 Valwood Pkwy, Ste 100, Carrollton TX, 75006  ","Tag & Associates, LLC",469-544-1000,http://www. designedbytag.com
"Red Gable Homes, LLC","P.O. Box 2331, Denton TX, 76202  ",Doug Chandler,817-296-9949,
"Mack Professionals, Inc / Beaver Builders","412 N 5th St, Sanger TX, 76266  ",Donny Mack,940-458-7354,
Barnett/West Custom Homes,"6060 N Central Expy Ste 332, Dallas TX, 75206  ",Charles Barnett,214-520-8992,
Holley Jolly Homes LLC,"P.O. Box 113, Denison TX, 75020  ",Joshua Holley,832-499-7577,http://www.holleyjollyhomes.com
Logan McDonald,"605 E. Palace Pkwy., Ste. A3, Grand Prairie TX, 75050  ","Brothers B&B Contracting, Inc.",817-223-0364,
McCoy Construction Inc.,"901 Griffitt St., Leonard TX, 75452  ",Michael B. McCoy,214-649-3077,
"MALT Homes, Inc.","PO Box 600345, Dallas TX, 75360  ",Lyle Turner,214-693-3407,http://www.malthomes.com
Stonefield Homes,"5001 LBJ Fwy Ste 850, Dallas TX, 75244  ",David Ramey,214-501-0681,http://stonefieldhomes.com
Lennar Homes,"1707 Marketplace Blvd ste 100, Irving TX, 75063  ",Greg Urech,469-587-5308,
Owner Managed Homes,"2150 S. Central Expressway, Suite 200, McKinney TX, 75070  ",Susan Horak,214-551-2149,
"Nixon Brothers Construction, LLC","812 Country Club Dr, Heath TX, 75032  ",Truman Nixon,281-824-5445,
Fontana Homes LLC,"6258 FM 1390, Kaufman TX, 75142  ",Josue Zapata,972-201-8050,
LRO Residential,"3928 Bryn Mawr, Dallas TX, 75225  ",Les Owens,214-676-4119,
Kenny Docekal,"1800 Valley View Lane, Farmers Branch TX, 75234  ",William Ryan Homes,817-995-8700,http://www.williamryanhomes.com
Duane Pfannenstiel,"1419 Dragon Street, Dallas TX, 75207  ","Allgood/Pfannenstiel General Contractors, LLC",214-770-4648,
"Caprock Custom Construction, Inc.","307 Terry Lane, Heath TX, 75032  ",Chip Chamberlain,469-774-5575,
Siri Design and Build,"1815 Hill Ridge Drive, Flower Mound TX, 75028  ",Leela Veeramachaneni,940-218-3969,
Twin Oaks Custom Homes,"8117 Preston Rd. Ste 300, Dallas TX, 75225  ",Tom Lin,972-961-9818,
Keiley & Kassa Investments,"1432 N Joe Wilson Rd, Cedar Hill TX, 75104  ",Benjamin Keiley,206-566-4096,
Renovation Builders Network,"4400 State Hwy 121, Lewisville TX, 75056  ",Henry Chun,888-305-0588,
"Sumeer Homes, Inc.","2404 Texas Dr. #103, Irving TX, 75062  ",Suresh Shridharani,972-659-0655,
KinoD Homes,"1281 W Green Oaks Blvd #117, Arlington TX, 76013  ",Jacq A Duncan,855-546-6301,
Fortress Estates,"13101 Preston Rd. Ste 110-1001, Dallas TX, 75240  ",Jessel Craig,800-626-6909,https://www.fortressestates.com/
Denton Creek Builders,"11611 Adam Ct, Ponder TX, 76259  ",Travis Wisecamp,469-446-0834,
Keen Homes,"6953 Bob O Link, Dallas TX, 75214  ",Kelly Reynolds,214-558-7120,
"Desco Fine Homes, LLC","1 Bella Porta Place, Dallas TX, 75254  ",David Goettsche,972-381-8995,
LMC Homes LLC,"924 Indian Trail, Oak Leaf TX, 75154  ",Lauren Cupp,682-554-9068,http://www.lmccustomhomes.com
Texmexmi Construction LLC,"46 Crown Place, Richardson TX, 75080  ",Justin Edge,469-795-1919,http://www.cuttingedgedallas.com
Sabre Realty Management Inc.,"16475 Dallas Pkwy. #880, Addison TX, 75001  6856",Steve Folsom,972-931-7400,
Bridge Tower Homes,"5430 Lyndon B Johnson Frwy, Ste 1050, Dallas TX, 75240  ",Jackson Su,214-440-5606,
Pipkin Homes LLC,"5304 Clear Creek Dr., Flower Mound TX, 75022  ",Shane Pipkin,214-701-6776,
Keith Kieltyka,"5661 7th St NE, Calgary AB, T2E 8V3  ",Shane Homes,281-910-5689,http://www.shanehomes.com
Triple D Acquisition LLC,"1024 Ginger Trail, Desoto TX, 75115  ",David Johnson,214-693-3923,
"M/I Homes of DFW, LLC","700 TX-121 Suite 100, Lewisville TX, 75067  ",Chad Tschetter,972-246-3414,
Quest View Properties LLC,"325 N. Saint Paul Street, Ste. 3100, Dallas TX, 75201  ",Arthur Mcdonald,214-475-3052,
Shannon Brown,"1011 Three Oaks Dr, Fairview TX, 75069  ",Tim Jackson Custom Homes LP,972-562-6623,
"American Legend Homes, Ltd.","4400 State Highway 121, Suite 410, Lewisville TX, 75056  ",Paul Miller,972-410-5707,
Mike Jobe,"6225 State Hwy 161, Irving TX, 75038  ",Drees Custom Homes,972-953-4500,
Centre Living Homes LLC,"4300 MacArthur Ave., Ste. 165, Dallas TX, 75209  ",Trevor Brickman,469-567-3518,
William Taylor Custom Homes,"P.O. Box 934, Van Alstyne TX, 75495  ",Gary Evans,214-325-2346,
"Our North Texas Home, LLC","1305 Wolf Ridge Run, Gunter TX, 75058  ",C.J. Clem,214-392-9339,
John Porizek,"700 State Highway 121 Bypass, Suite 100, Lewisville TX, 75067  ","M/I Homes of DFW, LLC",469-831-3689,
Elijah Kord Custom Homes,"8140 Walnut Hill Lane, Ste 505, Dallas TX, 75231  ",Hamed Balazadeh,214-770-4575,
"Chesmar Homes DFW, Ltd.","1600 North Collins, Richardson TX, 75080  ",Randy McGillem,972-982-2572,
M D C Homes LLC,"1240 Norfolk, Prosper TX, 75078  ",David Maya,214-912-7767,http://www.mdchomes.info/
Yomi Fayiga,"1111 West Main St, Waxahachie TX, 75165  ",Crux Engineering & Construction,214-455-8042,http://builtbyCrux.com
BPVHomes LLC,"2201 Long Prairie Rd Ste 107-382, Flower Mound TX, 75022  ",Yulia Burt,469-660-1332,http://www.BPVHomes.com
"Drais Custom Homes, Inc.","1617 Callaway Dr, Plano TX, 75075  ",Peter Drais,972-978-3685,
Mosaic Building Company,"204 E. Main Street, Richardson TX, 75081  ",Taylor McCabe,469-585-8799,http://mosaicbuildingco.com
"George Welch Custom Homes, LLC","PO Box 818, Crandall TX, 75114  ",George Welch,469-774-7078,
sHeECO Custom Homes,"1817 Ranch Trail Rd, Aubrey TX, 76227  ",Michelle Carter-Love,214-418-2012,
Gold Star Construction,"3629 Jockey Dr, Fort Worth TX, 76244  ",Jay Freischlag,817-266-3940,http://www.goldstar.build
Garvey Homes,"2712 King Arthur, Lewisville TX, 75056  ",Bob Hansen,972-899-1845,
Shane Wenzel,"5661 7th St NE, Calgary AB, T2E 8V3  ",Shane Homes,403-536-2283,
"ARTISTRY Texas, LLC","6875 Lagoon Drive, Grand Prairie TX, 75054  ",James Moore,972-571-6806,http://www.artistrydb.com
Knox Built Construction,"3838 Oak Lawn Ave. ste 1520, Dallas TX, 75219  ",Luke Eilert,214-509-5910,https://knox-built.com/
Bahar Builders Inc.,"2802 N Carroll Ave, #1107, Dallas TX, 75204  ",Oscar Erkin,408-643-3760,http://www.baharbuilders.com
Cadence Homes,"8400 Belleview Dr Ste 135, Plano TX, 75024  ",Bruno Pasquinelli,469-294-0195,
HistoryMaker Homes,"1038 Texan Trail, Grapevine TX, 76051  ",Nelson Mitchell,817-849-5100,
"McClintock Homes, LLC","161 W 3rd St. Ste 110, Prosper TX, 75078  ",Lisa Dritschler,940-255-7855,
Gutman Custom Homes,"P.O. Box 261562, Plano TX, 75026  ",Milana Gutman,972-836-6596,
"LeComte Group, LLC","P.O. Box 720549, Dallas TX, 75372  ",Josh LeComte,214-827-1431,
Q F C S LLC,"2770 Main St, #253, Frisco TX, 75033  ",Larry Hayes,214-270-5184,
Dallas Area Habitat for Humanity,"2800 N. Hampton Rd., Dallas TX, 75212  ",Melony Combs,214-678-2320,http://www.dallasareahabitat.org
"Quantum's Elite Homes, LLC","820 S. MacArthur Blvd #105-384, Coppell TX, 75019  ",Daniel St. Claire,972-401-1333,
The New Modern Home,"208 S Cottonwood Dr, Suite 300, Richardson TX, 75080  ",Jimmy Tanghongs,469-803-1000,https://www.thenewmodernhome.com/
TatumTek Modular,"1722 Routh St, Ste 900, Dallas TX, 75201  ",Edwin Tatum,214-537-1158,http://www.tatumtek.com
Antonio Casillas,"46 Crown Place, Richardson TX, 75080  ",Texmexmi Construction LLC,469-427-9627,http://www.cuttingedgedallas.com
Bailey Family Builders,"11703 Balch Springs Ct., Frisco TX, 75035  ",T.W. Bailey Sr.,972-816-4955,
Plex Roofing & Construction,"1324 N. Main St., Paris TX, 75460  ",Skyler Burchinal,903-495-1919,
Crux Engineering & Construction,"1111 West Main St, Waxahachie TX, 75165  ",Siyan Fayiga,214-455-8043,
Ron Davis Custom Homes,"17818 Davenport, Suite 116, Dallas TX, 75252  ",Ron Davis,214-484-1448,
DFH Coventry Homes,"16980 North Dallas Pkwy., Ste 100, Dallas TX, 75248  ",Rudy Pospisil,972-484-6665,
TechArt Signature Homes,"4502 Avebury Dr, Plano TX, 75024  ",Ravi Macha,972-603-5352,
Jewel Homes,"205 Pierce, Red Oak TX, 75154  ",Robert Brown,214-876-3115,http://www.jewelhomestx.com
"J. Anthony Custom Homes, LLC dba Homes by J. Anthony","P.O. Box 945, Allen TX, 75013  ",Tony Prutch,972-400-1291,
Leigh Evans,"P.O. Box 934, Van Alstyne TX, 75495  ",William Taylor Custom Homes,214-325-2346,http://www.williamtaylorhomes.com/
Toll Brothers Inc.,"2557 S.W. Grapevine Pkwy, #100, Grapevine TX, 76051  ",William Taylor Custom Homes,855-289-8656,
Capitol Annex Development Company,"2931 Canton St, Dallas TX, 75226  ",Cody Barrington,817-980-8614,
BRM Projects,"2328 Wild Forest Cir, Lewisville TX, 75056  ",Rafael Cachutt,469-867-7471,http://www.brmprojects.com
"Habitat for Humanity of Greater Garland, Inc","2909 Broadway Blvd., Garland TX, 75041  ",Richard Buquet,972-414-6894,http://www.garlandhabitat.org
Cresswell Builders,"17409 Club Hill Court, Dallas TX, 75248  ",Robert J Cresswell,214-533-7233,
Harrison Homes LLC ,"3824 Cedar Springs Rd, Ste 1030, Dallas TX, 75219  ",Tray Harrison,214-912-6700,
UnionMain Homes,"5001 LBJ Freeway, Ste. 650, Dallas TX, 75244  ",Geoff Young,972-231-8203,
"First Texas Homes, Inc.","500 Crescent Court, Ste 350, Dallas TX, 75201  ",Keith Hardesty,214-613-3400,
Zachary Motley,"405 State Highway 121 Bypass, Bldg A210, Lewisville TX, 75067  ","M/I Homes of DFW, LLC",972-246-3407,
George C Fuller Contracting Company,"6960 Mediterranean Drive, McKinney TX, 75072  ",George Fuller,972-540-5980,http://www.fullercustomhomes.com
Tri Pointe Homes,"6201 Plano Parkway Ste 150, Plano TX, 75093  ",Sean Ricks,469-498-1005,
Steven Jesmer,"5763 State Hwy 205, Ste 100, Rockwall TX, 75032  ",Altura Homes,903-456-5920,
Eddie Piercy,"412 N. 5th St., Sanger TX, 76266  ","Mack Professionals, Inc / Beaver Builders",940-391-0790,
Thomas Signature Homes,"P O Box 670923, Dallas TX, 75367  0923",Tom London,214-929-6590,
Walker Properties,"2500 Fallview Ln, Carrollton TX, 75007  ",Joshua Walker,214-897-3062,
Select Custom Home,"1914 Skillman St, Ste 110-120, Dallas TX, 75214  ",David Genz,469-400-2060,http://www.selectcustomhome.com
"Fairmont Homes, LLC","PO BOX 601628, Dallas TX, 75360  ",Collin Fahrenkopf,,
Catena Homes,"13760 Noel Rd STE 1000, Dallas TX, 75240  ",Sal Jafar,214-387-1541,
Brandon Pridgen,"1419 Dragon Street, Dallas TX, 75207  ","Allgood/Pfannenstiel General Contractors, LLC",972-489-6890,http://allgoodgc.com
Compass Point Community Builders L.L.C.,"1521 Wyndmere Dr, DeSoto TX, 75115  ",Elbert Thomas,469-337-4915,
McKinley Creek Homes,"1601 N Coleman Ste 90, Prosper TX, 75078  ",Bob Jameson,214-460-2700,
Bennett Construction and Design LLC,"1709 Saint James Dr, Carrollton TX, 75007  ",Marc Bennett,469-684-6116,
"Sterling Brook Custom Homes, LLC","120 Hawk Crest Ln, Double Oak TX, 75077  ",Wayne Atkins,214-636-5064,
"PPL, Inc.","1200 Florida Dr. #150, Arlington TX, 76015  ",Patrick Powers,817-640-1951,
Thoroughbred Custom Homes,"290 S Preston Rd, Ste 370, Prosper TX, 75078  ",Evan Kozak,214-775-9952,
"Venus Homes of Texas, LLC","1148 Mississippi Avenue, Dallas TX, 75207  ",Jon Venverloh,214-449-7852,http://www.venus.homes
Michelle Mcdonald,"325 N. Saint Paul Street, Ste. 3100, Dallas TX, 75201  ",Quest View Properties LLC,214-475-3052,
Katie Youngblood,"5601 Democracy Dr., Ste 300, Plano TX, 75024  ",Highland Homes,210-667-3205,
HHR Construction LLC,"112 Ryburn St, Waxahachie TX, 75165  ",Hector Hernandez,469-285-1200,https://hhrconstruction.com
Splendor Builders LLC,"3061 Dothan Ln, Dallas TX, 75229  ",Stephanie Salas,972-919-9700,
Scott Ellis Homes LLC,"5907 Wesley St., Ste. 102, Greenville TX, 75402  ",Scott Ellis,903-453-7117,http://scottellishomes.net
"Alltex General Contracting, LLC","105 N. Kaufman St, Seagoville TX, 75159  ",Ray Choate,877-255-8391,
Armadillo Homes and Construction LLC,"2969 NW Hwy 11, Leonard TX, 75452  ",Tyler Wauson,210-749-0956,https://armadillobuilders.com
Pacesetter Homes,"6950 TPC Dr., Suite 150, McKinney TX, 75070  ",Blake Friesenhahn,469-712-7401,
Bean Co Homes,"4849 Greenville Ave, Ste 100-141, Dallas TX, 75238  ",Brad Bean,214-677-7146,http://www.beancohomes.com
Denison Properties,"301 W Woodard St, Denison TX, 75020  ",William Munson,903-463-3750,
Riseman Development Company,"3837 Van Ness Pl, Dallas TX, 75220  7216",William Riseman,972-733-3040,
Luxury Homes of Texas,"2887 W. Pioneer Pkwy Suite H, Pantego TX, 76013  ",Timothy Lansford,972-390-8682,
Taylor Morrison,"6735 Salt Cedar Way, Bldg 1, Ste 200, Frisco TX, 75034  ",Tom Cawthon,469-252-2200,
"Mishler Builders, Inc.","P. O. Box 38, Rockwall TX, 75087  0038",Michael Mishler,214-502-3895,
Tundra Construction LLC,"5909 Loch Lomond Dr., Plano TX, 75093  ",TJ Singh,972-806-0587,https://tundraconstructionllc.com
Preston Trail Homes,"130 N. Preston Rd Suite 100-440, Prosper TX, 75078  ",Larry Beck,469-296-3315,
Ashton Woods Homes,"1800 Valley View, Suite 100, Farmers Branch TX, 75234  ",Kara Dederick,972-428-5405,
Millennial Design Build LLC,"5208 Village Creek Dr., Ste 101, Plano TX, 75093  ",John Szczsponik,214-578-5062,
Alford Homes,"17480 N. Dallas Pkwy #112, Dallas TX, 75287  ",Greg J Alford,972-429-1074,
Alexander Hunt Distinct Homes,"12200 N Stemmons Fwy Ste 220, Dallas TX, 75234  ",Mark Alexander,214-502-3332,
"Wind & Water Construction, LLC","5700 Tennyson Pkwy #300, Plano TX, 75024  ",David Tucker,972-665-9845,
Nixon Custom Homes,"5600 W Lovers Ln, PMB 116-279, Dallas TX, 75209  ",Austin Nixon,214-373-8800,
Allie Perkins,"1011 Three Oaks Drive, Fairview TX, 75069  ",Tim Jackson Custom Homes LP,972-562-6623,http://www.timjacksoncustomhomes.com
AMITT LLC,"1701 Gateway Blvd., Ste. 460, Richardson TX, 75080  ",Mobolaji Ikujenyo,214-861-8080,
Caton Construction,"2001 Covey Glen Rd. , McKinney TX, 75069  ",Jace Caton,972-571-7533,
"Christie Homes, LLC","117 Community Dr, Lavon TX, 75166  ",Brittany Christie,806-420-1510,
JLD Custom Homes,"15400 Knoll Trail, Suite # 107, Dallas TX, 75248  ",Jeffrey Dworkin,972-789-1212,
Texas Benchmark Building Group,"P.O. Box 271631, Flower Mound TX, 75027  ",Jay Martin,972-898-7841,
Amber DiLane Homes Inc,"2112 South 3rd St., Mabank TX, 75147  ",C. Rená McCord,903-887-4228,
Habitat for Humanity of Collin County,"2060 Couch Dr., McKinney TX, 75069  ",Bryant Knepp,972-542-5300,http://habitatcollincounty.org
Key Life Homes,"P.O. Box 154258, Irving TX, 75015  ",Zack Penn,214-637-6655,
Elmwood Custom Homes,"1555 Palmyra Rd., Palmer TX, 76152  ",Ed Merkel,817-291-4432,
"Mark Clifton Homes, Inc.","3419 Westminster, Dallas TX, 75205  ",Mark Clifton,214-532-8989,
Canterbury Custom Homes LLC,"PO Box 12638, Dallas TX, 75225  ",James Davis,972-658-9206,
"Highland Classic Homes, LLC.","9510 W. Lake Highlands Drive, Dallas TX, 75218  ",Mark Dann,972-679-9295,
Chris Sandlin Homes,"1625 W. Mockingbird Ln, #114, Dallas TX, 75235  ",Chris Sandlin,817-727-3718,
Divino Homes,"8500 North Stemmons Frwy, Dallas TX, 75247  ",Joshua Correa,214-360-7200,
Windsor Homes Texas,"5310 Harvest Hill Rd, #162, Dallas TX, 75230  ",Brian Kopp,214-888-8878,https://windsorhomestexas.com
Halifax Homes Inc.,"Robert Greeson, Plano TX, 75075  ",Halifax Homes Inc.,972-562-7000,
Castrum Construction,"5925 Forest Ln. #412, Dallas TX, 75230  ",Markus Hirschbrich,214-725-7881,
Anderson Homes Dallas LLC,"4516 Lovers Lane Ste 442, Dallas TX, 75225  ",Ronnie Anderson,214-761-6228,
Legend Homes by CAMILLO,"13141 Northwest Freeway, Floor 1, Houston TX, 77040  ",John Devens,281-671-9000,
Phillip Thompson Custom Homes,"6950 TPC Drive, Suite 160, Mckinney TX, 75070  ",Phillip Thompson,214-935-1171,
Preserve Custom Homes,"3021 Ridge Rd Ste 205, Rockwall TX, 75032  ",David Johnson,469-847-1245,
Jana McAllister,"7557 Rambler Rd, Ste 725, Dallas TX, 75231  ",Tommy Ford Construction,972-991-1081,http://www.tommyford.net
BLR Contracting,"1400 Windpointe Dr, Rockwall TX, 75032  ",Brian Reeves,469-352-7939,http://www.blrcustom.com
CB JENI / Normandy / Southgate Homes,"5501 Headquarters Dr, Ste 300W, Plano TX, 75024  ",Steve Schermerhorn,214-383-1115,
Jana Condren,"6960 Mediterranean Drive, McKinney TX, 75072  ",George C Fuller Contracting Company,469-247-2990,
Tatum Brown Custom Homes,"3838 Oak Lawn Ave., Ste. 1520, Dallas TX, 75219  ",Mark Danuser,214-361-4877,
Scott Sandlin Homes Ltd.,"5137 Davis Blvd., Fort Worth TX, 76180  ",Scott Sandlin,817-281-3509,
Hanna Homes & Construction,"6600 Chase Oaks Blvd., Ste. 150, Plano TX, 75023  ",George Hanna,214-892-0660, https://www.hannahomes.co/
Hudson Construction Group,"4268 W. Lovers Ln, Dallas TX, 75209  ",Elliott Perry,214-926-5095,
MLD Custom Homes,"P.O. Box 428, Wylie TX, 75098  ",Landon Day,214-458-0214,
"Wan Bridge Group, LLC","8117 Preston Road Suite 250, Dallas TX, 75225  ",Eddie Van Cise,214-469-9069,
Jesse Adams Custom Homes,"P.O. Box 940, Prosper TX, 75078  ",Adam James,972-806-2554,http://www.jesseadamshomes.com
Elevate Custom Homes LLC,"110 Vassar Ct, Waxahachie TX, 75165  ",Jason Crow,972-366-5479,http://Www.Myelevatehome.com
Gentry Custom Homes,"PO Box 884, Keene TX, 76059  ",Frank Gentry,817-760-7084,
"LTC Professional Builders, Inc.","5246 US HIGHWAY 377 South, Aubrey TX, 76227  ",Jeff Parrent,940-365-3505,
J. Stiles Homes,"905 Firestone Lane, Richardson TX, 75080  ",Jereme Stiles,972-922-3507,
Raymond Willburn,"6735 Salt Cedar Way, Frisco TX, 75034  ",Taylor Morrison,469-919-6922,
Mohment,"2701 Custer Parkway #813, Richardson TX, 75080  ",Ellie Paulhus,972-741-6328,
"Michael G Morgan, LLC","14 Kestrel Court, Heath TX, 75032  ",Michael Morgan,469-600-9861,
Chris Rutland,"130 N. Preston Rd Suite 100-440, Prosper TX, 75078  ",Preston Trail Homes,512-826-2610,http://www.prestontrail.homes
Fresco Construction Inc.,"P O Box 822322, Dallas TX, 75382  2322",Sandy Simmons,214-343-2842,
"Brothers B&B Contracting, Inc.","605 E Palace Pkwy Ste A3, Grand Prairie TX, 75050  ",Ted Wilson,972-264-1806,http://www.brothersbandb.com
Stallings Custom Homes LLC,"3217 Purdue Ave., Dallas TX, 75225  ",Thomas Stallings,214-395-9638,
Westchester Custom Homes,"P.O. Box 1622, Rockwall TX, 75087  ",Jack Cecil,972-771-1350,
Lillian Custom Homes,"6350 N I-35E Service Road Waxahachie, Waxahachie TX, 75165  ",Jennifer Chelwick,972-937-8990,
Trey Gruenwald,"1640 W Chapman Dr Ste 300, Sanger TX, 76266  ",TGC Custom Homes,817-689-0232,
David Leite Custom Homes,"4951 Airport Pkwy Ste 540, Addison TX, 75001  ",David Leite,972-880-8062,
Pulte Group,"9111 Cypress Waters, Blvd, Suite 100, Coppell TX, 75019  ",Gary Davis,972-304-2800,
"Stovall Custom Homes, LLC","1228 Oxford Ln, Grapevine TX, 76051  ",Craig Stovall,214-802-0719,http://StovallCustomHomes.com
EarnhartBuilt,"2903 S Woodlawn Blvd, Denison TX, 75020  ",Jason Earnhart,903-487-9102,
US Ultra Homes LLC,"P O Box 1025, Pilot Point TX, 76258  ",Carolyn Cashion,940-686-2888,
"Mishler Builders, Inc.","Christi Mishler, Rockwall TX, 75087  ","Mishler Builders, Inc.",214-773-7247,http://www.mishlerbuilders.com
Cambridge Homes,"2600 Network Blvd, #150, Frisco TX, 75034  ",Tim Eller,972-478-8181,
Bella Custom Homes Inc.,"P O Box 516, Addison TX, 75001  ",Anthony Visconti,972-250-0898,
Hacienda Custom Builders,"301 Ridgewood Drive, Richardson TX, 75080  ",Erik Rodriguez,972-865-5145,http://www.haciendacustombuilders.com
Milan Custom Build,"5220 Spring Valley Rd., Suite 212, Dallas TX, 75254  ",Richard Bragg,469-333-8880,
"EWG Development, LLC","10605 Countess Dr, Dallas TX, 75229  ",Erik Gouin,281-536-7073,
Scott Moore,"6735 Salt Cedar Way, Bldg 1, Ste 200, Frisco  TX, 75034  ",Taylor Morrison,469-216-3096,
Tim Jackson Custom Homes LP,"1011 Three Oaks Drive, Fairview TX, 75069  ",Tim Jackson,972-562-6623,
Daniel Greenberg,"16610 Dallas Pkwy, Ste 2025, Dallas TX, 75248  ",MCR Builders LLC DBA MCR Luxury Homes,214-536-2735,
8th & Main,"812 Alex Ln , Midlothian TX, 76065  ",Drew Williams,214-686-5590,
Graham Hart Home Builder,"1109 Glade Road, Colleyville TX, 76034  ",Shawn Goff,214-626-8590,http://GrahamHart.com
K-Rose Construction Inc.,"101-C Greenville Ave, Ste 21, Allen TX, 75002  ",Robin Lloyd,214-221-8833,
Starr Construction,"4311 Oak Lawn Ave, Unit 550, Dallas TX, 75219  ",Gary Starr,214-600-2282,
Alexandra Oliveira,"2328 Wild Forest Cir, Lewisville TX, 75056  ",BRM Projects,469-867-7458,http://www.brmprojects.com
Malone Custom Builders LLC,"657 Louise Drive, Fairview TX, 75069  ",Shelley H Malone II,214-676-7907,
Pytcher Real Estate Group,"P.O. Box 5240, Frisco TX, 75035  ",Joseph Pytcher,817-637-7001,
Millenia Homes,"6505 W Park Blvd., #306 PMB 374, Plano TX, 75093  ",Steve Goodman,214-733-0951,
"Stonehollow Homes, LLC","205 W Louisiana St, Ste 201, McKinney TX, 75069  ",Ryan M. Hayes,469-907-2155,
Wells Homes,"6211 W. Northwest Hwy Suite 1901, Dallas TX, 75225  ",Richard Wells,214-210-0123,http://www.WellsHomes.com
K. Hovnanian Homes,"5808 W. Plano Parkway, Plano TX, 75093  ",Jim Besaw,469-737-1400,
Tony Cardone,"2325 Dean Way, Ste 150, Southlake TX, 76092  ",Impression Homes,817-350-4673,
HRS Build,"7522 Campbell Road Suite #113-258, Dallas TX, 75248  ",Harriet Reisman-Snyder,469-441-4779,
Kayt Burrens,"5661 7th St NE, Calgary AB, T2E 8V3  ",Shane Homes,403-536-2224,
